source_dir,filename,source_path,target_category,target_path,method,reason
mis,a42a8.f,mis/a42a8.f,utilities/helpers,src/utilities/helpers/a42a8.f,content_analysis,"Score:20, Subs:A4"
mis,a82int.f,mis/a82int.f,REVIEW_NEEDED,src/REVIEW_NEEDED/a82int.f,content_analysis,"Low confidence, Subs: A8"
mis,adr.f,mis/adr.f,analysis/dynamic,src/analysis/dynamic/adr.f,content_analysis,"Score:40, Subs:ADR"
mis,adri.f,mis/adri.f,REVIEW_NEEDED,src/REVIEW_NEEDED/adri.f,content_analysis,"Low confidence, Subs: ADRI"
mis,adrprt.f,mis/adrprt.f,utilities/output,src/utilities/output/adrprt.f,content_analysis,"Score:21, Subs:ADRPRT"
mis,af.f,mis/af.f,REVIEW_NEEDED,src/REVIEW_NEEDED/af.f,content_analysis,"Low confidence, Subs: AF"
mis,ai.f,mis/ai.f,REVIEW_NEEDED,src/REVIEW_NEEDED/ai.f,content_analysis,"Low confidence, Subs: "
mis,ais.f,mis/ais.f,REVIEW_NEEDED,src/REVIEW_NEEDED/ais.f,content_analysis,"Low confidence, Subs: "
mis,akapm.f,mis/akapm.f,REVIEW_NEEDED,src/REVIEW_NEEDED/akapm.f,content_analysis,"Low confidence, Subs: AKAPM"
mis,akappa.f,mis/akappa.f,REVIEW_NEEDED,src/REVIEW_NEEDED/akappa.f,content_analysis,"Low confidence, Subs: AKAPPA"
mis,akp2.f,mis/akp2.f,REVIEW_NEEDED,src/REVIEW_NEEDED/akp2.f,content_analysis,"Low confidence, Subs: AKP2"
mis,alamda.f,mis/alamda.f,REVIEW_NEEDED,src/REVIEW_NEEDED/alamda.f,content_analysis,"Low confidence, Subs: ALAMDA"
mis,alg.f,mis/alg.f,core/algorithms,src/core/algorithms/alg.f,pattern,Matched ^alg\.f$
mis,alg01.f,mis/alg01.f,core/algorithms,src/core/algorithms/alg01.f,pattern,Matched ^alg\d+\.f$
mis,alg02.f,mis/alg02.f,core/algorithms,src/core/algorithms/alg02.f,pattern,Matched ^alg\d+\.f$
mis,alg03.f,mis/alg03.f,core/algorithms,src/core/algorithms/alg03.f,pattern,Matched ^alg\d+\.f$
mis,alg04.f,mis/alg04.f,core/algorithms,src/core/algorithms/alg04.f,pattern,Matched ^alg\d+\.f$
mis,alg05.f,mis/alg05.f,core/algorithms,src/core/algorithms/alg05.f,pattern,Matched ^alg\d+\.f$
mis,alg06.f,mis/alg06.f,core/algorithms,src/core/algorithms/alg06.f,pattern,Matched ^alg\d+\.f$
mis,alg07.f,mis/alg07.f,core/algorithms,src/core/algorithms/alg07.f,pattern,Matched ^alg\d+\.f$
mis,alg08.f,mis/alg08.f,core/algorithms,src/core/algorithms/alg08.f,pattern,Matched ^alg\d+\.f$
mis,alg09.f,mis/alg09.f,core/algorithms,src/core/algorithms/alg09.f,pattern,Matched ^alg\d+\.f$
mis,alg1.f,mis/alg1.f,core/algorithms,src/core/algorithms/alg1.f,pattern,Matched ^alg\d+\.f$
mis,alg10.f,mis/alg10.f,core/algorithms,src/core/algorithms/alg10.f,pattern,Matched ^alg\d+\.f$
